summary_nr,Event Date,Abstract Text,Event Description,Event Keywords,con_end,Construction End Use,build_stor,Building Stories,proj_cost,Project Cost,proj_type,Project Type,Degree of Injury,nature_of_inj,Nature of Injury,part_of_body,Part of Body,event_type,Event type,evn_factor,Environmental Factor,hum_factor,Human Factor,task_assigned,Task Assigned,hazsub,fat_cause,fall_ht
220960025,5/31/2017,"At 4:29 p.m. on May 31, 2017, an employee was on the facility roof opening a fire vent door to assist roofing contractors.  The employee was struck in the head by the door when it opened and the employee fell through the door opening.  The employee fell approximately 22 feet before landing on the concrete surface.  The employee was transported to the Carolinas Medical Center, where he was transferred to Charlotte via helicopter and was pronounced deceased. ","EMPLOYEE IS STRUCK BY DOOR, FALLS THROUGH OPENING, AND IS KI","STRUCK BY,DOOR,FALL,ROOF,HEAD,STRUCK AGAINST",0, ,0, ,0, ,0, ,Fatal,21,Serious Fall/Strike,13,Head,5,Fall (from elevation),18,Other,1,"Misjudgment, Hazardous Situation",2,Not Regularly Assigned,0,0,0
220960280,5/31/2017,"At 2:30 p.m. on May 31, 2017, an employee was climbing down a ladder.  The employee slipped and fell from the ladder, striking their head to the ground. The employee was killed. ",EMPLOYEE FALLS FROM LADDER AND IS KILLED,"FALL,LADDER,HEAD",B,Multi-family dwelling,0, ,0, ,A,New project or new addition,Fatal,3,"Bruising, Contusion",13,Head,5,Fall (from elevation),18,Other,14,Other,1,Regularly Assigned,0,14,0
220959696,5/30/2017,"At 12:45 p.m. on May 30, 2017, an employee was walking across a driveway that was in the process of being paved.  A dump truck was backing up the driveway to dump asphalt onto the paving machine.  In this process, the dump truck backed over the employee.  The employee received multiple fractures and major trauma to his body from being ran over by the dump truck, and was killed. ",EMPLOYEE IS STRUCK AND KILLED WHEN BY TRUCK BACKS OVER HIM,"STRUCK BY,MOTOR VEHICLE,RESIDENTIAL CONSTRUCTION,BACK-UP ALARM",I,"Highway, road, street",0, ,A,"Under $50,000",A,New project or new addition,Fatal,3,"Bruising, Contusion",18,Lower Leg,1,Struck-by,16,Sound Level,9,Safety Devices Removed/Inoperable,1,Regularly Assigned,0,0,0
220960082,5/30/2017,"At 12:30 p.m. on May 30, 2017, an employee was attempting to pull a steel mat back to the form so it could be tied into place.  He had double wrapped the tie wire around the steel, and was using a 2 by 4 for leverage. He was tied off with one of his lanyards and his positioning hook.  Both items were attached to the same location on the vertical bar beneath the first horizontal bar.  The 2 by 4 snapped causing the employee to lose balance and fall backwards.  The force from the board breaking and the employee falling backwards pulled upwards on the attachment point breaking the wires which were tied around the rebar. This forced the horizontal bar upward allowing the positioning hook and lanyard to slip off the vertical and horizontal steel rebar.  The employee fell approximately 21 feet and was killed from head and internal injuries. ",EMPLOYEE FALLS FROM ELEVATION AND IS KILLED,"FALL,FALL PROTECTION",G,Sewer/water treatment plant,2,2,E,"$1,000,000 to $5,000,000",A,New project or new addition,Fatal,12,"Fracture, Broken Bones",13,Head,5,Fall (from elevation),13,Work-Surface/Facility-Layout Condition,1,"Misjudgment, Hazardous Situation",1,Regularly Assigned,0,18,0
220968341,5/30/2017,"On May 30, 2017, an employee came to work on Sunday to clean as is customary. The employee went home with respiratory issues.  He had stated that he was not feeling well. Employee was taken to the physician by his brother, from there he was transferred to the hospital by ambulance.  The employee went into respiratory and cardiac arrest and died from possible chemical exposure to chlorine. ",EMPLOYEE IS KILLED BY CHEMICAL EXPOSURE TO CHLORINE,"CARDIAC ARREST,CHLORINE,CHEMICAL VAPOR",0, ,0, ,0, ,0, ,Fatal,21,Serious Fall/Strike,31,Heart,12,Card-vascular/resp. fail.,9,Chemical Action/Reaction Expos,19,Insufficient /Lack/Respiratory Protection,1,Regularly Assigned,0,0,0
220965719,5/30/2017,"At 10:01 a.m. on May 30, 2017, an employee was struck by a forklift as it was backing out of a truck that was being loaded with wooden pallets. The driver backed out of a truck at the dock, turned, and struck the employee, sending him to the ground. The employee sustained multiple injuries to his left leg, knee, and foot. On May 30, 2017 at 5:30 am, the employee died at home. It was reported that his lungs filled with fluid and he suffered a heart attack. ",EMPLOYEE IS STRUCK BY FORK LIFT AND LATER DIES FROM INJURIES,"STRUCK BY,POWERED INDUSTRIAL VEHICLE,HEART ATTACK",0, ,0, ,0, ,0, ,Fatal,21,Serious Fall/Strike,31,Heart,1,Struck-by,8,Materials Handling Equip./Method,11,Mater-Handling Procedure Inappropriate,2,Not Regularly Assigned,0,0,0
220961437,5/30/2017,"At 7:00 p.m. on May 30, 2017, an employee was attempting to move a heavy metal injection mold used for manufacturing plastic parts, when it fell off a shelf and struck him.  The employee received critical injuries to his head and chest, and died on June 2, 2017.  According to Medical Examiner, the cause of death was blunt force injury to the head. ",EMPLOYEE IS STRUCK AND KILLED BY METAL INJECTION MOLD THAT F,"STRUCK BY,FALLING OBJECT",0, ,0, ,0, ,0, ,Fatal,6,Head Trauma,13,Head,1,Struck-by,6,Overhead Moving/Falling Object Action,14,Other,2,Not Regularly Assigned,0,0,0
220960041,5/30/2017,"At 6:00 p.m. on May 30, 2017, an employee was working in a filed picking eggplants.  The employee was found unresponsive on the ground.  Cause of death was possible heat stoke (pending toxicology report). The employee's core temperature was unknown. ",EMPLOYEE FOUND UNRESPONSIVE IN FIELD DIES FROM HEAT STROKE,"AGRICULTURE,HEAT EXHAUSTION,HEAT",0, ,0, ,0, ,0, ,Fatal,15,Heat Exhaustion,4,Whole Body,14,Other,11,Temperature +/- Tolerance Lev.,14,Other,1,Regularly Assigned,8330,0,0
220959605,5/30/2017,"At 1:45 p.m. on May 30, 2017, an employee was operating the industrial magnetic based drill.  The employee's safety vest vest was caught-in the drill mechanism. The employee became tangled, choked and he was killed. ",EMPLOYEE IS CAUGHT IN DRILL AND IS ASPHYXIATED,"CAUGHT IN,ASPHYXIATED,CLOTHING,DRILL",C,Commercial building,1,1,0, ,B,Alteration or rehabilitation,Fatal,21,Serious Fall/Strike,20,Neck,2,Caught in or between,18,Other,1,"Misjudgment, Hazardous Situation",2,Not Regularly Assigned,0,0,0
220960694,5/29/2017,"At 10:00 a.m. on May 29, 2017, a 38 year old male employee, was working on the ground to clean and chip brush. There were two employees climbing in a tree to trim it at a residential home. One climber looked down toward the ground to check before performing a cut and saw the employee lying on the ground. The climber yelled to the other climber and they responded, finding blood on the back of the injured employee's head. Emergency services were called and the injured employee was transported to a hospital. The employee was hospitalized and later died from a fractured skull. ",EMPLOYEE STRUCK BY FALLING TREE BRANCH AND IS KILLED,"TREE TRIMMING,FALLING OBJECT,STRUCK BY",0, ,0, ,0, ,0, ,Fatal,12,"Fracture, Broken Bones",13,Head,1,Struck-by,6,Overhead Moving/Falling Object Action,14,Other,2,Not Regularly Assigned,0,0,0
220959621,5/29/2017,"At 3:00 a.m. on May 29, 2017, an employee was connecting a wire cable to the block of a drilling rig. The employee connecting a rope cable from a winch on a pickup truck to the block of a drilling rig was entangled. The employee was caught in between the cord and the winch and was killed.. ",EMPLOYEE CAUGHT IN WIRE CABLE ON A SPOOL AND IS KILLED,"CAUGHT IN,WIRE ROPE,DRILL,WINCH",0, ,0, ,0, ,0, ,Fatal,21,Serious Fall/Strike,20,Neck,2,Caught in or between,18,Other,14,Other,1,Regularly Assigned,0,0,0
220960462,5/29/2017,"At 1:30 p.m. on May 29, 2017, an employee was changing a seal on a power swivel.  The rigging chain on the tong broke, striking the employee in the side of his head. The employee suffered a fractured skull and was killed. ",EMPLOYEE STRUCK BY RIGGING CHAIN AND IS KILLED,"STRUCK BY,FRACTURE,BROKEN CHAIN",0, ,0, ,0, ,0, ,Fatal,12,"Fracture, Broken Bones",13,Head,1,Struck-by,5,Flying Object Action,6,Equipment Inappropriate For Operation,2,Not Regularly Assigned,0,0,0
220959647,5/28/2017,"At 4:15 p.m. on May 28, 2017, an employee was installing metal roof panels approximately 24 feet above ground level.  The employee was using a drill to screw metal roof panels onto structural beams.  The employee was working with his back to the edge of the roof, stepped back, and fell from the roof onto the concrete.  The employee was not wearing safety harness.  Fall protection was not provided. The employee was killed from crushing injuries to the head. ",EMPLOYEE FALLS FROM ROOF AND IS KILLED,"FALL,ROOF",C,Commercial building,1,1,A,"Under $50,000",A,New project or new addition,Fatal,21,Serious Fall/Strike,13,Head,5,Fall (from elevation),13,Work-Surface/Facility-Layout Condition,14,Other,1,Regularly Assigned,0,15,0
220960058,5/27/2017,"At 1:30 p.m. on May 27, 2017, an employee was cutting an 18-inch oak tree limb.  The employee was knocked off of the tree by lifelines getting caught by the falling limb being cut away. The climber fell and struck his face into the trunk of the tree and was asphyxiated after hanging in place for over 2 hours. ",EMPLOYEE TRIMMING TREE FALLS AND IS ASPHYXIATED BY LIFELINES,"TREE TRIMMING,FALL,CHAIN SAW,ROPE,ASPHYXIATED",0, ,0, ,0, ,0, ,Fatal,6,Head Trauma,20,Neck,14,Other,8,Materials Handling Equip./Method,11,Mater-Handling Procedure Inappropriate,1,Regularly Assigned,0,0,0
220959126,5/26/2017,"At 10:22 a.m. on May 26, 2017, an employee was removing roof panels.  The employee fell through a roof opening, struck his head on a concrete floor and was killed. ",EMPLOYEE FALLS FROM ROOF AND IS KILLED,"FALL,ROOF",C,Commercial building,1,1,0, ,D,Demolition,Fatal,12,"Fracture, Broken Bones",13,Head,5,Fall (from elevation),18,Other,9,Safety Devices Removed/Inoperable,2,Not Regularly Assigned,0,15,0
220959472,5/25/2017,"At 5:00 a.m. on May 25, 2017, an employee was cleaning a kitchen hood using a degreaser and other cleaning agents.  According to coworkers, at the end of his work schedule, the worker felt dizzy and with shortness of breath. An ambulance was called, and the worker died on the way to the hospital. The employer was not at the site at the time of the  incident. ",EMPLOYEE INHALES CHEMICAL VAPORS AND IS KILLED,"CHEMICAL VAPOR,INHALATION,DEGREASER",0, ,0, ,0, ,0, ,Fatal,21,Serious Fall/Strike,31,Heart,14,Other,18,Other,14,Other,2,Not Regularly Assigned,0,0,0
220959357,5/25/2017,"At 4:00 p.m. on May 25, 2017, an employee was performing cleanup of a work area.  The employee fell through a floor opening/shaft.  The employee struck rocks on the ground, received head trauma and broken bones and was killed. ",EMPLOYEE FALLS THROUGH CHUTE/SHAFT AND IS KILLED,"FALL,FLOOR OPENING",B,Multi-family dwelling,4,4,0, ,A,New project or new addition,Fatal,12,"Fracture, Broken Bones",13,Head,5,Fall (from elevation),13,Work-Surface/Facility-Layout Condition,1,"Misjudgment, Hazardous Situation",2,Not Regularly Assigned,0,20,0
220960892,5/25/2017,"At 3:15 p.m. on May 25, 2017, two employees were preparing hot plates to use during fusion of plastic piping.  Other workers at the site were backfilling a trench.  Other workers at the site were welding and using oxyacetylene torches to connect steel piping in a trench.  The piping was connected to a crude oil tank that had been partially emptied, but not washed out or vented.  Flammable vapors ignited and three crude oil tanks exploded.  Flash fire spread to area of trench, resulting in 4th degree burns and killing one worker. Three workers sustained third degree burns and were hospitalized. Two workers sustained first and second degree burns, and were treated and released. ",EMPLOYEE IS KILLED IN EXPLOSION AND FIRE,"TRENCH,COMBUSTIBLE LIQUID,CRUDE OIL,EXPLOSION,NATURAL GAS,LOCKOUT/TAGOUT,CHEMICAL",M,Pipeline,0, ,0, ,B,Alteration or rehabilitation,Fatal,5,Fire Burn,4,Whole Body,14,Other,18,Other,14,Other,1,Regularly Assigned,0,22,0
220959340,5/24/2017,"At approximately 10:48 on May 24, 2017, Employee #1, the owner, and another employee were in the process of neutralizing an empty MP85 odorant tank. The odorant tank had previously been filed with tertiary butyl mercaptan.  The odorant tank was filled with 6% sodium hypochlorite solution.  The group was in the process of setting up the equipment to drain the odorant tank when the odorant tank exploded.  The owner and Employee #1 were standing at the base of the tank while the other employee was standing on a ladder.  Employee #1 and the owner received fatal injuries, and the other employee was lift-flighted to the hospital.  Employee #1 and the owner were pronounced dead at the scene. ",TWO WORKERS ARE KILLED AND ANOTHER HOSPITALIZED WHEN TANK EX,"SODIUM HYPOCHLORITE,EXPLOSION,AIR PRESSURE,TANK",0, ,0, ,0, ,0, ,Fatal,21,Serious Fall/Strike,4,Whole Body,14,Other,15,Overpressure/Underpressure,1,"Misjudgment, Hazardous Situation",1,Regularly Assigned,0,0,0
220958615,5/24/2017,"At 10:00 a.m. on May 24, 2017, an employee was tasked with wrapping shrink wrap around used residential water heaters which were then taken to a recycling facility.  While sitting down taking a break under a shade structure, the employee started having chest pains and numbness on his left side. The employee had a heart attack and died. ",EMPLOYEE DIES FROM HEART ATTACK AT WORK,HEART ATTACK,A,Single family or duplex dwelling,0, ,A,"Under $50,000",B,Alteration or rehabilitation,Fatal,21,Serious Fall/Strike,5,Ribs,12,Card-vascular/resp. fail.,18,Other,14,Other,1,Regularly Assigned,0,0,0
220958953,5/24/2017,"At 6:50 a.m. on May 24, 2017, an employee was driving his truck.  He was observed having a seizure just before he left the storage yard.  The employee had a fatal heart attack. ",EMPLOYEE DIES FROM HEART ATTACK,HEART ATTACK,0, ,0, ,0, ,0, ,Fatal,21,Serious Fall/Strike,31,Heart,12,Card-vascular/resp. fail.,18,Other,14,Other,1,Regularly Assigned,0,0,0
220959241,5/24/2017,"At 2:43 p.m. on May 24, 2017, an employee was picking up tree limbs when an approximately 150 foot tree uprooted and struck employee on the head.  The impact from the blow threw the employee onto the ground.  The employee's head struck a sharp rock.  Employee was wearing his issued hard hat.The employee was killed by being struck on the head by a falling tree, and then being thrown down onto a rock. ",EMPLOYEE STRUCK BY FALLING TREE IS KILLED,"TREE TRIMMING,STRUCK BY,FALLING OBJECT,HEAD",0, ,0, ,0, ,0, ,Fatal,7,Laceration,13,Head,1,Struck-by,6,Overhead Moving/Falling Object Action,14,Other,1,Regularly Assigned,0,0,0
220958490,5/24/2017,"At 1:45 p.m. on May 24, 2017, an employee was running a string trimmer (Weed eater) to cut down weeds.  The employee complained to a coworker that the heat was getting to him (85 degrees outside) then collapsed. The coworker performed CPR until paramedics arrived approximately 15 minutes later.  The employee died from a possible heart attack. ",EMPLOYEE DIES FROM POSSIBLE HEAT EXHAUSTION,"HEART ATTACK,HEAT EXHAUSTION",0, ,0, ,0, ,0, ,Fatal,21,Serious Fall/Strike,4,Whole Body,12,Card-vascular/resp. fail.,18,Other,14,Other,2,Not Regularly Assigned,0,0,0
220958508,5/24/2017,"At 1:00 p.m. on May 24, 2017, a employee was directing a crane operator while standing inside an excavation for new cesspool installation.  The ground gave away and collapsed.  The employee fell in hole, and was engulfed.  The employee was killed. ",EMPLOYEE IS ENGULFED WHEN TRENCH COLLAPSES AND IS KILLED,"TRENCH,COLLAPSE",0, ,0, ,0, ,0, ,Fatal,21,Serious Fall/Strike,4,Whole Body,14,Other,18,Other,14,Other,1,Regularly Assigned,0,3,0
220958730,5/24/2017,"At 1:25 p.m. on May 24, 2017, an employee was operating a lift truck.  The employee fell while in the process of picking merchandise out of a rack from an elevated lift truck.   A video of the accident showed the employee elevating the lift truck, without parking it close to location of the pick. The employee is observed apparently kneeling in the operator's cabin of the lift truck, then he is observed falling head first through the gap in between the elevated position of the lift truck and the rack.  The employee had been trained and certified in the safe operation of the lift truck, and fall protection had been provided.  The employee was not wearing fall protection at the time of the accident.  The employee had a pre-existing heart condition and fell a distance of 15 feet and 3 inches to floor level. The employee died as a result of his injuries. ",EMPLOYEE FALLS FROM A POWERED INDUSTRIAL TRUCK AND IS KILLED,"STORAGE RACK,POWERED INDUSTRIAL VEHICLE,FALL",0, ,0, ,0, ,0, ,Fatal,12,"Fracture, Broken Bones",20,Neck,5,Fall (from elevation),8,Materials Handling Equip./Method,14,Other,1,Regularly Assigned,0,0,0
220960785,5/24/2017,"At 1:15 p.m. on May 24, 2017, an employee was nailing a second floor window into place.  The employee was on the outside of the structure standing on a 32 feet extension ladder when reportedly he lost his balance and fell.  The ladder was reportedly placed inside a 30 foot long construction dumpster among the trash and debris which possibly caused the ladder to slip.  The employee was killed by impact when hitting the ground. ",EMPLOYEE FALLS FROM LADDER AND IS KILLED,"FALL,LADDER",A,Single family or duplex dwelling,2,2,0, ,B,Alteration or rehabilitation,Fatal,21,Serious Fall/Strike,19,Internal Injuries,5,Fall (from elevation),18,Other,11,Mater-Handling Procedure Inappropriate,1,Regularly Assigned,0,14,0
220958482,5/23/2017,"On May 23, 2017, an employee was climbing an extension ladder with a packet of roofing shingles. The employee tripped or slipped and fell 18 feet to a concrete slab. The employee was killed. ",EMPLOYEE FALLS OFF EXTENSION LADDER AND IS KILLED,"FALL,LADDER,FALL PROTECTION",A,Single family or duplex dwelling,2,2,0, ,C,Maintenance or repair,Fatal,6,Head Trauma,13,Head,5,Fall (from elevation),18,Other,18,Insufficient /Lack/Written Work Practice Program,2,Not Regularly Assigned,0,14,0
220966535,5/23/2017,"At 10:00 a.m. on May 23, 2017, an employee was riding on the back of a pickup truck and fell.  The employee struck his head on the ground and fractured their skull. The employee was hospitalized and treated for his injuries. ",EMPLOYEE FALLS FROM PICKUP TRUCK AND FRACTURES SKULL,"PICKUP TRUCK,SKULL,FRACTURE,FALL",0, ,0, ,0, ,0, ,Nonfatal,12,"Fracture, Broken Bones",13,Head,5,Fall (from elevation),18,Other,14,Other,1,Regularly Assigned,0,0,0
220958243,5/23/2017,"At 3:30 p.m. on May 23, 2017, and employee was setting up a drip irrigation system.  The employee was not feeling well, and was taken to a trailer to rest.  The employee had cardiac arrest while he was cooling off in the trailer. The employee suffered fatal heart attack while at work. ",EMPLOYEE DIES FROM HEART ATTACK,"HEART ATTACK,HEAT EXHAUSTION",0, ,0, ,0, ,0, ,Fatal,21,Serious Fall/Strike,31,Heart,14,Other,18,Other,14,Other,2,Not Regularly Assigned,0,0,0
220991863,5/23/2017,"At 1:00 p.m. on May 23, 2017, an employee working in a construction zone was struck and killed by a motor vehicle. The driver didn't yield to workers in a construction zone. ",EMPLOYEE IS STRUCK AND KILLED BY MOTOR VEHICLE,"STRUCK BY,HIGHWAY,MOTOR VEHICLE",0, ,0, ,0, ,0, ,Fatal,3,"Bruising, Contusion",23,Femur,1,Struck-by,18,Other,5,Distracting Actions By Others,2,Not Regularly Assigned,0,7,0
220958763,5/22/2017,"At 12:15 p.m. on May 22, 2017, an employee was hitching up a tandem trailer rig. The employee backed the truck and first trailer into a second trailer and then exited the cab to hitch the second trailer.  The parking brake in the truck was not engaged and the working surface had a slight upward incline.  As the trailer was hooked up and the employee hooked up the air brakes, both trailers rolled backwards approximately 8 feet. The first and second trailers jack knifed into one another and the employee was crushed and killed. ",EMPLOYEE IS CRUSHED BETWEEN TWO TRAILERS AND IS KILLED,"CAUGHT IN,MOTOR VEHICLE,AIR PRESSURE,TRACTOR TRAILER,STRUCK BY,CRUSHING",0, ,0, ,0, ,0, ,Fatal,21,Serious Fall/Strike,1,Abdomen,2,Caught in or between,1,Pinch Point Action,1,"Misjudgment, Hazardous Situation",1,Regularly Assigned,0,0,0
220973598,5/22/2017,"At 12:45 p.m. on May 22, 2017, an employee was removing a tree top. As the tree top fell, the employee used a rope system to control the tree's rate of descent. The employee was pulled into the tree base and struck in the head by its falling portion. The employee was killed as a result. ",EMPLOYEE SIS TRUCK BY TREE AND IS KILLED,"TREE TRIMMING,STRUCK BY,FALLING OBJECT",0, ,0, ,0, ,0, ,Fatal,21,Serious Fall/Strike,13,Head,1,Struck-by,6,Overhead Moving/Falling Object Action,1,"Misjudgment, Hazardous Situation",2,Not Regularly Assigned,0,0,0
220991921,5/22/2017,"On May 22, 2017, an employee was killed while standing beside a conveyor when he was struck by a fallen log. ",EMPLOYEE IS STRUCK BY FALLING LOG AND IS KILLED,"STRUCK BY,LOG,CONVEYOR",0, ,0, ,0, ,0, ,Fatal,12,"Fracture, Broken Bones",20,Neck,1,Struck-by,6,Overhead Moving/Falling Object Action,11,Mater-Handling Procedure Inappropriate,2,Not Regularly Assigned,0,0,0
